"","id","Civilite","Age","EpouseFrat","ParentsEnf","Classe","Survie","Prix","PortEmbarq","Sexe","Sexe_modif"
"518","id288","Mr",61,0,0,"1",0,"32.3208","S","Homme","Homme"
"519","id289","Mrs",48,0,0,"1",1,"25.9292","S","Femme","Femme"
"520","id29","Miss",35,0,0,"1",1,"135.6333","S","Femme","Femme"
"521","id290","Miss",18,0,2,"1",1,"79.65","S","Femme","Femme"
"522","id291","Mr",52,1,1,"1",0,"79.65","S","Homme","Homme"
"523","id292","Mrs",39,1,1,"1",1,"79.65","S","Femme","Femme"
"524","id293","Mr",48,1,0,"1",1,"52","S","Homme","Homme"
"526","id295","Mr",49,1,1,"1",0,"110.8833","C","Homme","Homme"
"527","id296","Mr",17,0,2,"1",1,"110.8833","C","Homme","Homme"
"528","id297","Mrs",39,1,1,"1",1,"110.8833","C","Femme","Femme"
"530","id299","Mr",31,0,0,"1",1,"28.5375","C","Homme","Homme"
"531","id3","Miss",2,1,2,"1",0,"151.55","S","Femme","Enfant"
"532","id30","Mr",28,0,0,"1",1,"26.55","S","Homme","Homme"
"533","id300","",40,0,0,"1",0,"27.7208","C","Inconnu","Femme"
"534","id301","Mr",61,0,0,"1",0,"33.5","S","Homme","Homme"
"535","id302","Mr",47,0,0,"1",0,"34.0208","S","Homme","Homme"
"536","id303","Miss",35,0,0,"1",1,"512.3292","C","Femme","Femme"
"537","id304","Mr",64,1,0,"1",0,"75.25","C","Homme","Homme"
"538","id305","Mrs",60,1,0,"1",1,"75.25","C","Femme","Femme"
"539","id306","ColM",60,0,0,"1",0,"26.55","S","Homme","Homme"
"540","id307","Mr",54,0,1,"1",0,"77.2875","S","Homme","Homme"
"541","id308","Mr",21,0,1,"1",0,"77.2875","S","Homme","Homme"
"542","id309","Mrs",55,0,0,"1",1,"135.6333","C","Femme","Femme"
"543","id31","Mr",45,0,0,"1",0,"35.5","S","Homme","Homme"
"544","id310","Miss",31,0,2,"1",1,"164.8667","S","Femme","Femme"
"545","id311","Mr",57,1,1,"1",0,"164.8667","S","Homme","Homme"
"546","id312","Mrs",45,1,1,"1",1,"164.8667","S","Femme","Femme"
"547","id313","Mr",50,1,1,"1",0,"211.5","C","Homme","Homme"
"548","id314","Mr",27,0,2,"1",0,"211.5","C","Homme","Homme"
"549","id315","Mrs",50,1,1,"1",1,"211.5","C","Femme","Femme"
"550","id316","Miss",21,0,0,"1",1,"26.55","S","Femme","Femme"
"551","id317","Mr",51,0,1,"1",0,"61.3792","C","Homme","Homme"
"552","id318","Mr",21,0,1,"1",1,"61.3792","C","Homme","Homme"
"554","id32","Mr",40,0,0,"1",1,"31","C","Homme","Homme"
"555","id320","Miss",31,0,0,"1",1,"134.5","C","Femme","Femme"
"557","id322","Mr",62,0,0,"1",0,"26.55","S","Homme","Homme"
"558","id323","Miss",36,0,0,"1",1,"135.6333","C","Femme","Femme"
"559","id324","Mr",30,1,0,"2",0,"24","C","Homme","Homme"
"560","id325","Mrs",28,1,0,"2",1,"24","C","Femme","Femme"
"561","id326","Mr",30,0,0,"2",0,"13","S","Homme","Homme"
"562","id327","Mr",18,0,0,"2",0,"11.5","S","Homme","Homme"
"563","id328","Mr",25,0,0,"2",0,"10.5","S","Homme","Homme"
"564","id329","Mr",34,1,0,"2",0,"26","S","Homme","Homme"
"565","id33","Miss",30,0,0,"1",1,"164.8667","S","Femme","Femme"
"566","id330","Mrs",36,1,0,"2",1,"26","S","Femme","Femme"
"567","id331","Mr",57,0,0,"2",0,"13","S","Homme","Homme"
"568","id332","Mr",18,0,0,"2",0,"11.5","S","Homme","Homme"
"569","id333","Mr",23,0,0,"2",0,"10.5","S","Homme","Homme"
"570","id334","Mrs",36,0,0,"2",1,"13","S","Femme","Femme"
"571","id335","Mr",28,0,0,"2",0,"10.5","S","Homme","Homme"
"572","id336","Rev",51,0,0,"2",0,"12.525","S","Homme","Homme"
"573","id337","Mr",32,1,0,"2",1,"26","S","Homme","Homme"
"574","id338","Mrs",19,1,0,"2",1,"26","S","Femme","Femme"
"575","id339","Mr",28,0,0,"2",0,"26","S","Homme","Homme"
"576","id34","Miss",58,0,0,"1",1,"26.55","S","Femme","Femme"
"577","id340","Master",1,2,1,"2",1,"39","S","Homme","Enfant"
"578","id341","Miss",4,2,1,"2",1,"39","S","Femme","Enfant"
"579","id342","Miss",12,2,1,"2",1,"39","S","Femme","Enfant"
"580","id343","Mrs",36,0,3,"2",1,"39","S","Femme","Femme"
"581","id344","Mr",34,0,0,"2",1,"13","S","Homme","Homme"
"582","id345","Miss",19,0,0,"2",1,"13","S","Femme","Femme"
"583","id346","Mr",23,0,0,"2",0,"13","S","Homme","Homme"
"584","id347","Mr",26,0,0,"2",0,"13","S","Homme","Homme"
"585","id348","Mr",42,0,0,"2",0,"13","S","Homme","Homme"
"586","id349","Mr",27,0,0,"2",0,"13","S","Homme","Homme"
"587","id35","Mr",42,0,0,"1",0,"26.55","S","Homme","Homme"
"588","id350","Miss",24,0,0,"2",1,"13","S","Femme","Femme"
"589","id351","Miss",15,0,2,"2",1,"39","S","Femme","Femme"
"590","id352","Mr",60,1,1,"2",0,"39","S","Homme","Homme"
"591","id353","Mrs",40,1,1,"2",1,"39","S","Femme","Femme"
"592","id354","Miss",20,1,0,"2",1,"26","S","Femme","Femme"
"593","id355","Mr",25,1,0,"2",0,"26","S","Homme","Homme"
"594","id356","Miss",36,0,0,"2",1,"13","S","Femme","Femme"
"595","id357","Mr",25,0,0,"2",0,"13","S","Homme","Homme"
"596","id358","Rev",42,0,0,"2",0,"13","S","Homme","Homme"
"597","id359","Mrs",42,0,0,"2",1,"13","S","Femme","Femme"
"598","id36","Miss",45,0,0,"1",1,"262.375","C","Femme","Femme"
"599","id360","Master",0.8333,0,2,"2",1,"29","S","Homme","Enfant"
"600","id361","Mr",26,1,1,"2",1,"29","S","Homme","Homme"
"601","id362","Mrs",22,1,1,"2",1,"29","S","Femme","Femme"
"602","id363","Miss",35,0,0,"2",1,"21","S","Femme","Femme"
"604","id365","Mr",19,0,0,"2",0,"13","S","Homme","Homme"
"605","id366","Mrs",44,1,0,"2",0,"26","S","Femme","Femme"
"606","id367","Rev",54,1,0,"2",0,"26","S","Homme","Homme"
"607","id368","Mr",52,0,0,"2",0,"13.5","S","Homme","Homme"
"608","id369","Mr",37,1,0,"2",0,"26","S","Homme","Homme"
"609","id37","Miss",22,0,1,"1",1,"55","S","Femme","Femme"
"610","id370","Mrs",29,1,0,"2",0,"26","S","Femme","Femme"
"611","id371","Miss",25,1,1,"2",1,"30","S","Femme","Femme"
"612","id372","Mrs",45,0,2,"2",1,"30","S","Femme","Femme"
"613","id373","Mr",29,1,0,"2",0,"26","S","Homme","Homme"
"614","id374","Mrs",28,1,0,"2",1,"26","S","Femme","Femme"
"615","id375","ColM",29,0,0,"2",0,"10.5","S","Homme","Homme"
"616","id376","ColM",28,0,0,"2",0,"13","S","Homme","Homme"
"617","id377","ColM",24,0,0,"2",1,"10.5","S","Homme","Homme"
"618","id378","ColF",8,0,2,"2",1,"26.25","S","Femme","Enfant"
"619","id379","ColM",31,1,1,"2",0,"26.25","S","Homme","Homme"
"621","id380","ColF",31,1,1,"2",1,"26.25","S","Femme","Femme"
"622","id381","Mrs",22,0,0,"2",1,"10.5","S","Femme","Femme"
"623","id382","ColF",30,0,0,"2",0,"13","S","Femme","Femme"
"625","id384","Mr",21,0,0,"2",0,"11.5","S","Homme","Homme"
"627","id386","Master",8,1,1,"2",1,"36.75","S","Homme","Enfant"
"628","id387","Mr",18,0,0,"2",0,"73.5","S","Homme","Homme"
"629","id388","Mrs",48,0,2,"2",1,"36.75","S","Femme","Femme"
"630","id389","Miss",28,0,0,"2",1,"13","S","Femme","Femme"
"631","id39","Mr",41,0,0,"1",0,"30.5","S","Homme","Homme"
"632","id390","Mr",32,0,0,"2",0,"13","S","Homme","Homme"
"633","id391","Mr",17,0,0,"2",0,"73.5","S","Homme","Homme"
"634","id392","Mr",29,1,0,"2",0,"27.7208","C","Homme","Homme"
"635","id393","Mrs",24,1,0,"2",1,"27.7208","C","Femme","Femme"
"636","id394","Mr",25,0,0,"2",0,"31.5","S","Homme","Homme"
"637","id395","Mr",18,0,0,"2",0,"73.5","S","Homme","Homme"
"638","id396","Miss",18,0,1,"2",1,"23","S","Femme","Femme"
"639","id397","Mrs",34,0,1,"2",1,"23","S","Femme","Femme"
"640","id398","Mr",54,0,0,"2",0,"26","S","Homme","Homme"
"641","id399","DrM",8,0,2,"2",1,"32.5","S","Homme","Enfant"
"642","id4","Mr",30,1,2,"1",0,"151.55","S","Homme","Homme"
"643","id40","Mr",48,0,0,"1",0,"50.4958","C","Homme","Homme"
"644","id400","DrM",42,1,1,"2",0,"32.5","S","Homme","Homme"
"645","id401","DrF",34,1,1,"2",1,"32.5","S","Femme","Femme"
"646","id402","Miss",27,1,0,"2",1,"13.8583","C","Femme","Femme"
"647","id403","Miss",30,1,0,"2",1,"13.8583","C","Femme","Femme"
"648","id404","Mr",23,0,0,"2",0,"13","S","Homme","Homme"
"649","id405","Mr",21,0,0,"2",0,"13","S","Homme","Homme"
"650","id405","Mr",21,0,0,"2",0,"13","S","Homme","Homme"
"651","id406","Mr",18,0,0,"2",0,"13","S","Homme","Homme"
"652","id407","Mr",40,1,0,"2",0,"26","S","Homme","Homme"
"653","id408","Mrs",29,1,0,"2",1,"26","S","Femme","Femme"
"654","id409","Mr",18,0,0,"2",0,"10.5","S","Homme","Homme"
"656","id410","Mr",36,0,0,"2",0,"13","S","Homme","Homme"
"658","id412","Miss",38,0,0,"2",0,"13","S","Femme","Femme"
"659","id413","Mr",35,0,0,"2",0,"26","S","Homme","Homme"
"660","id414","Mr",38,1,0,"2",0,"21","S","Homme","Homme"
"661","id415","Mr",34,1,0,"2",0,"21","S","Homme","Homme"
"662","id416","Miss",34,0,0,"2",1,"13","S","Femme","Femme"
"663","id417","Mr",16,0,0,"2",0,"26","S","Homme","Homme"
"664","id418","Mr",26,0,0,"2",0,"10.5","S","Homme","Homme"
"665","id419","Mr",47,0,0,"2",0,"10.5","S","Homme","Homme"
"666","id42","Mrs",44,0,0,"1",1,"27.7208","C","Femme","Femme"
"667","id420","Mr",21,1,0,"2",0,"11.5","S","Homme","Homme"
"668","id421","Mr",21,1,0,"2",0,"11.5","S","Homme","Homme"
"669","id422","Mr",24,0,0,"2",0,"13.5","S","Homme","Homme"
"670","id423","Mr",24,0,0,"2",0,"13","S","Homme","Homme"
"671","id424","Mr",34,0,0,"2",0,"13","S","Homme","Homme"
"672","id425","Mr",30,0,0,"2",0,"13","S","Homme","Homme"
"673","id426","Mr",52,0,0,"2",0,"13","S","Homme","Homme"
"674","id427","Mr",30,0,0,"2",0,"13","S","Homme","Homme"
"675","id428","Master",0.6667,1,1,"2",1,"14.5","S","Homme","Enfant"
"676","id429","Mrs",24,0,2,"2",1,"14.5","S","Femme","Femme"
"677","id43","Mrs",59,2,0,"1",1,"51.4792","S","Femme","Femme"
"678","id430","Mr",44,0,0,"2",0,"13","S","Homme","Homme"
"679","id431","Miss",6,0,1,"2",1,"33","S","Femme","Enfant"
"680","id432","Rev",28,0,1,"2",0,"33","S","Homme","Homme"
"681","id433","Mr",62,0,0,"2",1,"10.5","S","Homme","Homme"
"682","id434","Mr",30,0,0,"2",0,"10.5","S","Homme","Homme"
"683","id435","Miss",7,0,2,"2",1,"26.25","S","Femme","Enfant"
"684","id436","Mr",43,1,1,"2",0,"26.25","S","Homme","Homme"
"685","id437","Mrs",45,1,1,"2",1,"26.25","S","Femme","Femme"
"686","id438","Miss",24,1,2,"2",1,"65","S","Femme","Femme"
"687","id439","Miss",24,1,2,"2",1,"65","S","Femme","Femme"
"688","id44","Mrs",60,0,0,"1",1,"76.2917","C","Femme","Femme"
"689","id440","Mr",49,1,2,"2",0,"65","S","Homme","Homme"
"690","id441","Mrs",48,1,2,"2",1,"65","S","Femme","Femme"
"691","id442","Mrs",55,0,0,"2",1,"16","S","Femme","Femme"
"692","id443","Mr",24,2,0,"2",0,"73.5","S","Homme","Homme"
"693","id444","Mr",32,2,0,"2",0,"73.5","S","Homme","Homme"
"694","id445","Mr",21,2,0,"2",0,"73.5","S","Homme","Homme"
"695","id446","Miss",18,1,1,"2",0,"13","S","Femme","Femme"
"696","id447","Miss",20,2,1,"2",1,"23","S","Femme","Femme"
"697","id448","Mr",23,2,1,"2",0,"11.5","S","Homme","Homme"
"698","id449","Mr",36,0,0,"2",0,"13","S","Homme","Homme"
"699","id45","Miss",41,0,0,"1",1,"134.5","C","Femme","Femme"
"700","id450","Mrs",54,1,3,"2",1,"23","S","Femme","Femme"
"701","id451","Mr",50,0,0,"2",0,"13","S","Homme","Homme"
"702","id452","Mr",44,1,0,"2",0,"26","S","Homme","Homme"
"703","id453","Mrs",29,1,0,"2",1,"26","S","Femme","Femme"
"704","id454","Mr",21,0,0,"2",0,"73.5","S","Homme","Homme"
"705","id455","Mr",42,0,0,"2",1,"13","S","Homme","Homme"
"706","id456","Mr",63,1,0,"2",0,"26","S","Homme","Homme"
"707","id457","Mrs",60,1,0,"2",0,"26","S","Femme","Femme"
"708","id458","Mr",33,0,0,"2",0,"12.275","S","Homme","Homme"
"709","id459","Miss",17,0,0,"2",1,"10.5","S","Femme","Femme"
"710","id46","Major",45,0,0,"1",0,"26.55","S","Homme","Homme"
"711","id460","Mr",42,1,0,"2",0,"27","S","Homme","Homme"
"712","id461","Mrs",24,2,1,"2",1,"27","S","Femme","Femme"
"713","id462","Mr",47,0,0,"2",0,"15","S","Homme","Homme"
"714","id463","Mr",24,2,0,"2",0,"31.5","S","Homme","Homme"
"715","id464","Mr",22,2,0,"2",0,"31.5","S","Homme","Homme"
"716","id465","Mr",32,0,0,"2",0,"10.5","S","Homme","Homme"
"717","id466","Mrs",23,0,0,"2",1,"13.7917","C","Femme","Femme"
"718","id467","Mr",34,1,0,"2",0,"26","S","Homme","Homme"
"719","id468","Mrs",24,1,0,"2",1,"26","S","Femme","Femme"
"720","id469","Mrs",22,0,0,"2",0,"21","S","Femme","Femme"
"723","id471","Mr",35,0,0,"2",0,"12.35","Q","Homme","Homme"
"724","id472","Mrs",45,0,0,"2",1,"13.5","S","Femme","Femme"
"725","id473","Rev",57,0,0,"2",0,"12.35","Q","Homme","Homme"
"727","id475","Mr",31,0,0,"2",0,"10.5","S","Homme","Homme"
"728","id476","Mrs",26,1,1,"2",0,"26","S","Femme","Femme"
"729","id477","Rev",30,1,1,"2",0,"26","S","Homme","Homme"
"731","id479","Miss",1,1,2,"2",1,"41.5792","C","Femme","Enfant"
"732","id48","Mr",42,0,0,"1",1,"26.2875","S","Homme","Homme"
"733","id480","Miss",3,1,2,"2",1,"41.5792","C","Femme","Enfant"
"734","id481","Mr",25,1,2,"2",0,"41.5792","C","Homme","Homme"
"735","id482","Mrs",22,1,2,"2",1,"41.5792","C","Femme","Femme"
"736","id483","Miss",17,0,0,"2",1,"12","C","Femme","Femme"
"738","id485","Mrs",34,0,0,"2",1,"10.5","S","Femme","Femme"
"739","id486","Mr",36,0,0,"2",0,"12.875","C","Homme","Homme"
"740","id487","Mr",24,0,0,"2",0,"10.5","S","Homme","Homme"
"741","id488","Mr",61,0,0,"2",0,"12.35","Q","Homme","Homme"
"742","id489","Mr",50,1,0,"2",0,"26","S","Homme","Homme"
"743","id49","Mrs",53,0,0,"1",1,"27.4458","C","Femme","Femme"
"744","id490","Mrs",42,1,0,"2",1,"26","S","Femme","Femme"
"745","id491","Mrs",57,0,0,"2",0,"10.5","S","Femme","Femme"
"747","id493","Master",1,0,2,"2",1,"37.0042","C","Homme","Enfant"
"748","id494","Mr",31,1,1,"2",0,"37.0042","C","Homme","Homme"
"749","id495","Mrs",24,1,1,"2",1,"37.0042","C","Femme","Femme"
"751","id497","Mr",30,0,0,"2",0,"13","S","Homme","Homme"
"752","id498","Mr",40,0,0,"2",0,"16","S","Homme","Homme"
"753","id499","Mr",32,0,0,"2",0,"13.5","S","Homme","Homme"
"754","id5","Mrs",25,1,2,"1",0,"151.55","S","Femme","Femme"
"755","id50","DrM",36,0,1,"1",1,"512.3292","C","Homme","Homme"
"756","id500","Mr",30,0,0,"2",0,"13","S","Homme","Homme"
"757","id501","Mr",46,0,0,"2",0,"26","S","Homme","Homme"
"758","id502","Miss",13,0,1,"2",1,"19.5","S","Femme","Femme"
"759","id503","Mrs",41,0,1,"2",1,"19.5","S","Femme","Femme"
"760","id504","Mr",19,0,0,"2",1,"10.5","S","Homme","Homme"
"761","id505","Mr",39,0,0,"2",0,"13","S","Homme","Homme"
"762","id506","Mr",48,0,0,"2",0,"13","S","Homme","Homme"
"763","id507","Mr",70,0,0,"2",0,"10.5","S","Homme","Homme"
"764","id508","Rev",27,0,0,"2",0,"13","S","Homme","Homme"
"765","id509","DrM",54,0,0,"2",0,"14","S","Homme","Homme"
"766","id51","DrF",58,0,1,"1",1,"512.3292","C","Femme","Femme"
"767","id510","Mr",39,0,0,"2",0,"26","S","Homme","Homme"
"768","id511","Mr",16,0,0,"2",0,"10.5","S","Homme","Homme"
"769","id512","Mr",62,0,0,"2",0,"9.6875","Q","Homme","Homme"
"770","id513","Mr",32.5,1,0,"2",0,"30.0708","C","Homme","Homme"
"771","id514","Mrs",14,1,0,"2",1,"30.0708","C","Femme","Femme"
"772","id515","Master",2,1,1,"2",1,"26","S","Homme","Enfant"
"773","id516","Master",3,1,1,"2",1,"26","S","Homme","Enfant"
"774","id517","Mr",36.5,0,2,"2",0,"26","S","Homme","Homme"
"775","id518","Mr",26,0,0,"2",0,"13","S","Homme","Homme"
"776","id519","Mr",19,1,1,"2",0,"36.75","S","Homme","Homme"
"777","id52","Mr",33,0,0,"1",0,"5","S","Homme","Homme"
"778","id520","Mr",28,0,0,"2",0,"13.5","S","Homme","Homme"
"779","id521","DrM",20,0,0,"2",1,"13.8625","C","Homme","Homme"
"780","id522","Mrs",29,0,0,"2",1,"10.5","S","Femme","Femme"
"781","id523","Mr",39,0,0,"2",0,"13","S","Homme","Homme"
"782","id524","Mr",22,0,0,"2",1,"10.5","S","Homme","Homme"
"784","id526","DrM",23,0,0,"2",0,"10.5","S","Homme","Homme"
"785","id527","Mr",29,0,0,"2",1,"13.8583","C","Homme","Homme"
"786","id528","Mr",28,0,0,"2",0,"10.5","S","Homme","Homme"
"788","id53","Mr",28,0,0,"1",0,"47.1","S","Homme","Homme"
"789","id530","Mrs",50,0,1,"2",1,"26","S","Femme","Femme"
"790","id531","Mr",19,0,0,"2",0,"10.5","S","Homme","Homme"
"792","id533","Rev",41,0,0,"2",0,"13","S","Homme","Homme"
"793","id534","Miss",21,0,1,"2",1,"21","S","Femme","Femme"
"794","id535","Mrs",19,0,0,"2",1,"26","S","Femme","Femme"
"795","id536","Mr",43,0,1,"2",0,"21","S","Homme","Homme"
"796","id537","Mrs",32,0,0,"2",1,"13","S","Femme","Femme"
"797","id538","Mr",34,0,0,"2",0,"13","S","Homme","Homme"
"798","id539","Mr",30,0,0,"2",1,"12.7375","C","Homme","Homme"
"799","id54","Mr",17,0,0,"1",0,"47.1","S","Homme","Homme"
"800","id540","Mr",27,0,0,"2",0,"15.0333","C","Homme","Homme"
"801","id541","Miss",2,1,1,"2",1,"26","S","Femme","Enfant"
"802","id542","Miss",8,1,1,"2",1,"26","S","Femme","Enfant"
"803","id543","Mrs",33,0,2,"2",1,"26","S","Femme","Femme"
"804","id544","Mr",36,0,0,"2",0,"10.5","S","Homme","Homme"
"805","id545","Mr",34,1,0,"2",0,"21","S","Homme","Homme"
"806","id546","Mrs",30,3,0,"2",1,"21","S","Femme","Femme"
"807","id547","Ms",28,0,0,"2",1,"13","S","Femme","Femme"
"808","id548","Mr",23,0,0,"2",0,"15.0458","C","Homme","Homme"
"809","id549","Master",0.8333,1,1,"2",1,"18.75","S","Homme","Enfant"
"810","id55","Master",11,1,2,"1",1,"120","S","Homme","Enfant"
"811","id550","Master",3,1,1,"2",1,"18.75","S","Homme","Enfant"
"812","id551","Mrs",24,2,3,"2",1,"18.75","S","Femme","Femme"
"813","id552","Miss",50,0,0,"2",1,"10.5","S","Femme","Femme"
"814","id553","Mr",19,0,0,"2",0,"10.5","S","Homme","Homme"
"815","id554","Miss",21,0,0,"2",1,"10.5","S","Femme","Femme"
"816","id555","Mr",26,0,0,"2",0,"13","S","Homme","Homme"
"817","id556","Mr",25,0,0,"2",0,"13","S","Homme","Homme"
"818","id557","Mr",27,0,0,"2",0,"26","S","Homme","Homme"
"819","id558","Mrs",25,0,1,"2",1,"26","S","Femme","Femme"
"820","id559","Miss",18,0,2,"2",1,"13","S","Femme","Femme"
"821","id56","Miss",14,1,2,"1",1,"120","S","Femme","Femme"
"822","id560","Miss",20,0,0,"2",1,"36.75","S","Femme","Femme"
"823","id561","Miss",30,0,0,"2",1,"13","S","Femme","Femme"
"824","id562","Mr",59,0,0,"2",0,"13.5","S","Homme","Homme"
"825","id563","Miss",30,0,0,"2",1,"12.35","Q","Femme","Femme"
"826","id564","Mr",35,0,0,"2",0,"10.5","S","Homme","Homme"
"827","id565","Miss",40,0,0,"2",1,"13","S","Femme","Femme"
"828","id566","Mr",25,0,0,"2",0,"13","S","Homme","Homme"
"829","id567","Mr",41,0,0,"2",0,"15.0458","C","Homme","Homme"
"830","id568","Mr",25,0,0,"2",0,"10.5","S","Homme","Homme"
"831","id569","Mr",18.5,0,0,"2",0,"13","S","Homme","Homme"
"832","id57","Mr",36,1,2,"1",1,"120","S","Homme","Homme"
"833","id570","Mr",14,0,0,"2",0,"65","S","Homme","Homme"
"834","id571","Miss",50,0,0,"2",1,"10.5","S","Femme","Femme"
"835","id572","Mr",23,0,0,"2",0,"13","S","Homme","Homme"
"836","id573","Mrs",28,0,0,"2",1,"12.65","S","Femme","Femme"
"837","id574","Miss",27,0,0,"2",1,"10.5","S","Femme","Femme"
"838","id575","Mr",29,1,0,"2",0,"21","S","Homme","Homme"
"839","id576","Mrs",27,1,0,"2",0,"21","S","Femme","Femme"
"840","id577","Mr",40,0,0,"2",0,"13","S","Homme","Homme"
"841","id578","Miss",31,0,0,"2",1,"21","S","Femme","Femme"
"842","id579","Mr",30,1,0,"2",0,"21","S","Homme","Homme"
"843","id58","Mrs",36,1,2,"1",1,"120","S","Femme","Femme"
"844","id580","Mr",23,1,0,"2",0,"10.5","S","Homme","Homme"
"845","id581","Mrs",31,0,0,"2",1,"21","S","Femme","Femme"
"847","id583","Miss",12,0,0,"2",1,"15.75","S","Femme","Enfant"
"848","id584","Mrs",40,0,0,"2",1,"15.75","S","Femme","Femme"
"849","id585","Miss",32.5,0,0,"2",1,"13","S","Femme","Femme"
"850","id586","Mr",27,1,0,"2",0,"26","S","Homme","Homme"
"851","id587","Mrs",29,1,0,"2",1,"26","S","Femme","Femme"
"852","id588","Master",2,1,1,"2",1,"23","S","Homme","Enfant"
"853","id589","Miss",4,1,1,"2",1,"23","S","Femme","Enfant"
"854","id59","Mr",49,0,0,"1",0,"26","S","Homme","Homme"
"855","id590","Mrs",29,0,2,"2",1,"23","S","Femme","Femme"
"856","id591","Miss",0.9167,1,2,"2",1,"27.75","S","Femme","Enfant"
"857","id592","Miss",5,1,2,"2",1,"27.75","S","Femme","Enfant"
"858","id593","Mr",36,1,2,"2",0,"27.75","S","Homme","Homme"
"859","id594","Mrs",33,1,2,"2",1,"27.75","S","Femme","Femme"
"860","id595","Mr",66,0,0,"2",0,"10.5","S","Homme","Homme"
"862","id597","Mr",31,0,0,"2",1,"13","S","Homme","Homme"
"864","id599","Miss",26,0,0,"2",1,"13.5","S","Femme","Femme"
"865","id6","Mr",48,0,0,"1",1,"26.55","S","Homme","Homme"
"867","id600","Mrs",24,0,0,"2",0,"13","S","Femme","Femme"
"868","id601","Mr",42,0,0,"3",0,"7.55","S","Homme","Homme"
"869","id602","Master",13,0,2,"3",0,"20.25","S","Homme","Homme"
"870","id603","Mr",16,1,1,"3",0,"20.25","S","Homme","Homme"
"871","id604","Mrs",35,1,1,"3",1,"20.25","S","Femme","Femme"
"872","id605","Miss",16,0,0,"3",1,"7.65","S","Femme","Femme"
"873","id606","Mr",25,0,0,"3",1,"7.65","S","Homme","Homme"
"874","id607","Mr",20,0,0,"3",1,"7.925","S","Homme","Homme"
"875","id608","Mrs",18,0,0,"3",1,"7.2292","C","Femme","Femme"
"876","id609","Mr",30,0,0,"3",0,"7.25","S","Homme","Homme"
"877","id61","Mr",36,1,0,"1",0,"78.85","S","Homme","Homme"
"878","id610","Mr",26,0,0,"3",0,"8.05","S","Homme","Homme"
"879","id611","Mrs",40,1,0,"3",0,"9.475","S","Femme","Femme"
"880","id612","Master",0.8333,0,1,"3",1,"9.35","S","Homme","Enfant"
"881","id613","Mrs",18,0,1,"3",1,"9.35","S","Femme","Femme"
"882","id614","Mr",26,0,0,"3",1,"18.7875","C","Homme","Homme"
"883","id615","Mr",26,0,0,"3",0,"7.8875","S","Homme","Homme"
"884","id616","Mr",20,0,0,"3",0,"7.925","S","Homme","Homme"
"885","id617","Mr",24,0,0,"3",0,"7.05","S","Homme","Homme"
"886","id618","Mr",25,0,0,"3",0,"7.05","S","Homme","Homme"
"887","id619","Mr",35,0,0,"3",0,"8.05","S","Homme","Homme"
"888","id62","Mrs",76,1,0,"1",1,"78.85","S","Femme","Femme"
"889","id620","Mr",18,0,0,"3",0,"8.3","S","Homme","Homme"
"890","id621","Mr",32,0,0,"3",0,"22.525","S","Homme","Homme"
"891","id622","Miss",19,1,0,"3",1,"7.8542","S","Femme","Femme"
"892","id623","Master",4,4,2,"3",0,"31.275","S","Homme","Enfant"
"893","id624","Miss",6,4,2,"3",0,"31.275","S","Femme","Enfant"
"894","id625","Miss",2,4,2,"3",0,"31.275","S","Femme","Enfant"
"895","id626","Miss",17,4,2,"3",1,"7.925","S","Femme","Femme"
"896","id627","Miss",38,4,2,"3",0,"7.775","S","Femme","Femme"
"897","id628","Miss",9,4,2,"3",0,"31.275","S","Femme","Enfant"
"898","id629","Miss",11,4,2,"3",0,"31.275","S","Femme","Enfant"
"899","id63","Mr",46,1,0,"1",0,"61.175","S","Homme","Homme"
"900","id630","Mr",39,1,5,"3",0,"31.275","S","Homme","Homme"
"901","id631","Mr",27,0,0,"3",1,"7.7958","S","Homme","Homme"
"902","id632","Mr",26,0,0,"3",0,"7.775","S","Homme","Homme"
"903","id633","Mrs",39,1,5,"3",0,"31.275","S","Femme","Femme"
"904","id634","Mr",20,0,0,"3",0,"7.8542","S","Homme","Homme"
"905","id635","Mr",26,0,0,"3",0,"7.8958","S","Homme","Homme"
"906","id636","Mr",25,1,0,"3",0,"17.8","S","Homme","Homme"
"907","id637","Mrs",18,1,0,"3",0,"17.8","S","Femme","Femme"
"908","id638","Mr",24,0,0,"3",0,"7.775","S","Homme","Homme"
"909","id639","Mr",35,0,0,"3",0,"7.05","S","Homme","Homme"
"910","id64","Mrs",47,1,0,"1",1,"61.175","S","Femme","Femme"
"911","id640","Master",5,4,2,"3",0,"31.3875","S","Homme","Enfant"
"912","id641","Master",9,4,2,"3",0,"31.3875","S","Homme","Enfant"
"913","id642","Master",3,4,2,"3",1,"31.3875","S","Homme","Enfant"
"914","id643","Master",13,4,2,"3",0,"31.3875","S","Homme","Homme"
"915","id644","Miss",5,4,2,"3",1,"31.3875","S","Femme","Enfant"
"916","id645","Mr",40,1,5,"3",0,"31.3875","S","Homme","Homme"
"917","id646","Mr",23,0,0,"3",1,"7.7958","S","Homme","Homme"
"918","id647","Mrs",38,1,5,"3",1,"31.3875","S","Femme","Femme"
"919","id648","Mrs",45,0,0,"3",1,"7.225","C","Femme","Femme"
"920","id649","Mr",21,0,0,"3",0,"7.225","C","Homme","Homme"
"921","id65","Mr",27,1,0,"1",1,"53.1","S","Homme","Homme"
